"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastramento de avaliação SIRIC","Testar novas funcionalidades","SUCCESS","2019-10-18T17:12:00.915-03:00[America/Sao_Paulo]","0.0","3.88"
"Cadastramento de avaliação SIRIC","Cadastrar avaliação","SUCCESS","2019-10-18T17:12:04.798-03:00[America/Sao_Paulo]","0.0","0.37"
"Cadastramento de avaliação SIRIC","Cadastrar avaliação existente","SUCCESS","2019-10-18T17:12:05.167-03:00[America/Sao_Paulo]","0.0","0.23"
"Cadastramento de avaliação SIRIC","Cadastrar avaliação com conjuge","SUCCESS","2019-10-18T17:12:05.402-03:00[America/Sao_Paulo]","0.0","0.27"
"Cadastramento de avaliação SIRIC","Cadastrar avaliação sem conjuge","SUCCESS","2019-10-18T17:12:05.671-03:00[America/Sao_Paulo]","0.0","0.27"
